sha256,changwat,constituency,polling_station,amphoe,tambon,choice_number,choice_name,choice_label,votes,ballots_valid,station_vote_share,turnout_rate,invalid_rate,validation_passed
b710a1ffb44d72d3832c7fb67b7f2596e4a91082308d7fab15e2bd84f692b3fe,ลำปาง,1,9,ไม่ระบุ,ไม่ระบุ,8,นางทิพา ปวีณาเสถียร,พรรคประชาชน,555,688,0.8066860465116279,,,False
3851312c1f22be0e2b57ae6f0e151fe62725481944671101964c2847ffd1ab80,ลำปาง,1,1,ลำปาง,ศึกษาพิทยากร,8,นางทิพา ปวีณาเสถียร,พรรคประชาชน,543,694,0.7824207492795389,1.0,0.011842105263157895,False
49f392537c0ead481c2cfa42016e55d6f19312e69652a4e8d41f1b52f35ac81d,ลำปาง,1,1,เมืองลำปาง,เตรียมมูล,8,นางทิพา ปวีณาเสถียร,พรรคประชาชน,538,682,0.7888563049853372,1.0,0.010526315789473684,True
37267c6d8b6d7f433f1467e2b52876496cb72afd2887c0a8d0a38ef3d7f8902a,ลำปาง,1,1478,ไม่ระบุ,ไม่ระบุ,8,นางทิพา ปวีณาเสถียร,พรรคประชาชน,535,692,0.773121387283237,1.0,0.0,True
755abe3496e46301d6d88eadf9e93cf683bdec598e1742721aa4c57e3f7e9869,ลำปาง,1,7,เชียงคำ,เชิงมูล,8,นางทิพา ปวีณาเสถียร,พรรคประชาชน,524,686,0.7638483965014577,0.9026315789473685,0.016034985422740525,False
c8265d6985042ff384b638d5ec8abe525b97c06d6e7712407215094ed745d9a3,ลำปาง,1,55,อ่างทอง,เขตเลือกตั้งที่ 1,8,นางทิพา ปวีณาเสถียร,พรรคประชาชน,523,689,0.7590711175616836,,,False
1309d73412f5745585dac47b75f3ca176bfa701353cde2cb20d6e57a61f92106,ลำปาง,1,1,เขตเลือกตั้งที่ 1,โรงเรียนเตรียมอุดมศึกษา,8,นางทิพา ปวีณาเสถียร,พรรคประชาชน,523,689,0.7590711175616836,1.0,0.019230769230769232,False
1545296537816b1b23074f2fabb67f1def78e05c59e64d2c7144d988629eaf03,ลำปาง,1,3,น้ำผึ้ง,ตำบล/แขวง/เทศบาล 20,4,นายกิตติกร โล่ห์สุนทร,พรรคเพื่อไทย,520,520,1.0,1.4207920792079207,0.059233449477351915,False
f7b1a96b7dd6f9037fc0b087c6b39579b5434c5ebf9ee2abe527689d3bc92212,ลำปาง,1,1,เขตเลือกตั้งที่ 1,เตรียมอุดมศึกษา,8,นางทิพา ปวีณาเสถียร,พรรคประชาชน,505,693,0.7287157287157288,1.0,0.006578947368421052,False
d16bdc35f1ce9bd0896373b0b0c81d0f5197f3a25762664492d83741d4334ea5,ลำปาง,1,1,,,8,นางทิพา ปวีณาเสถียร,พรรคประชาชน,505,677,0.7459379615952733,1.0,0.009210526315789473,True
3789fe69af02b1e8e55e3f516674a4ecb82ea8572184cc287096ab24d79f39af,ลำปาง,1,1,,,8,นางทิพา ปวีณาเสถียร,พรรคประชาชน,504,672,0.75,,,False
bf6c8e3ee476ab8ebdc2cab86e03480454c7664792e4e5b507959cd0e886f6d2,ลำปาง,1,8,เขตลำปาง,เรอดิมอุดม,8,นางทิพา ปวีณาเสถียร,พรรคประชาชน,499,676,0.7381656804733728,1.0,0.013157894736842105,False
39a2fd4a602590960760416ec85fd938cd7d137aeb680bb90ca3dd1d3b257890,ลำปาง,1,1,,,8,นางทิพา ปวีณาเสถียร,พรรคประชาชน,489,678,0.7212389380530974,1.0,0.025,False
49362652f996085eef8ff131069234b3b3b5cd8e9d6ef2818b3d06b29741ad22,ลำปาง,1,3,ห้างฉกรรจ์,หนองหล่ม,1,นายอธิวัฒน์ ศรีไชยยานุพันธ์,พรรคคล้ายธรรม,466,466,1.0,0.71671388101983,0.02766798418972332,True
6894ce19d86292625af026ac6436c58cae245028ec35a3b9bf775f734395ad86,ลำปาง,1,1,เมือง,มานายอิ่ม,6,ร.ต.อ. ประสิทธิ์ ทิวงศ์ษา,พรรคเศรษฐกิจ,442,492,0.8983739837398373,0.6635006784260515,0.044989775051124746,False
c5eec8b2a483a123667252dd62025f9b0fe19ff1fa054c8269d14e52618fac35,ลำปาง,1,4,บางแค,บางนาดำ,1,นายอธิวัฒน์ ศรีไชยยานุพันธ์,พรรคคล้ายธรรม,424,424,1.0,1.0,0.35714285714285715,False
75cc1249cd68bb8f3d3327832446e284fcdc64c721e60becd6a3dc19623312a7,ลำปาง,1,10,เชิงเขา,มานองช์,9,นายก้องเกียรติ มาทา,พรรครวมไทยสร้างชาติ,420,420,1.0,0.7332339791356185,0.07926829268292683,False
277ef8bf9c304a9daa439aa555a7a5f80d1bb370c1caaf8e77335959b0dd5327,ลำปาง,1,3,เชียงใหม่,เมืองพัฒนา,8,นางทิพา ปวีณาเสถียร,พรรคประชาชน,414,488,0.8483606557377049,0.745740498034076,0.06854130052724078,False
0ff5bea2d1227b1a4c43922f145845f040516359321ce8e6fa733e022c197400,ลำปาง,1,3,เมือง,ทุ่งช้าง,1,นายอธิวัฒน์ ศรีไชยยานุพันธ์,พรรคคล้ายธรรม,353,363,0.9724517906336089,0.7063903281519862,0.05134474327628362,False
b81bcb85ba108a88c00c42c62d1f36b1abf3bff7fa76547e99152e4e403c3870,ลำปาง,1,4,เมือง,ทุ่งลาย,5,นายนริศ แสงบุญเรือง,พรรคไทยก้าวใหม่,339,339,1.0,0.7532467532467533,0.8349753694581281,False
a6635ba80f9829ffc24337b068c3a5ba890cf300d45ab4e52293dfee78e29798,ลำปาง,1,13,หนองคู,มอญปาก,8,นางทิพา ปวีณาเสถียร,พรรคประชาชน,337,372,0.9059139784946236,4.0,0.93,False
572bbbc672da3afd9f4b63ffd4fb6eeda54119a43572926976f22e867bb2b339,ลำปาง,1,1,เขตเลือกตั้งที่ 1,โลงเรียนทร์มอญคุณศักดา พิฆนาการฯ,8,นางทิพา ปวีณาเสถียร,พรรคประชาชน,313,412,0.7597087378640777,1.0,0.01569506726457399,False
c28552236c9b1ad014c2ac088c1c72796ec32ca3af7e566f5c370f747490fd26,ลำปาง,1,13,เชียงดาว,เชียงตาล,2,นายบุญเชิด พรมศร,พรรคโอกาสใหม่,305,305,1.0,7.51063829787234,0.05099150141643059,False
40cbdc0b6211fe77206afc7b9af59f3285acd48f762bda6cecfc93195c891ab5,ลำปาง,1,21,เมือง,ถนนชัย,7,นางสาวอมลยา เจนตวนิชย์,พรรคประชาธิปัตย์,301,370,0.8135135135135135,0.642433234421365,0.025404157043879907,False
f2d59f8d2a1033c81d1fc18710b25589b1ee5512ad2722b994a5c397fa146083,ลำปาง,1,16,เชิงทะเล,ต้นทอง,8,นางทิพา ปวีณาเสถียร,พรรคประชาชน,297,532,0.5582706766917294,0.7205720572057206,0.04122137404580153,False
f6c2c4cc81635d42ee2d8ff4b0de09b54e161bedfdf5bea6432f0fd50e9e902b,ลำปาง,1,27,เมือง,หัวเวียง,8,นางทิพา ปวีณาเสถียร,พรรคประชาชน,294,317,0.9274447949526814,0.9320113314447592,0.00303951367781155,False
c552241d35749c0a83bc7086ace468f0d9a5ac2be869df8ddfa70c9a9620781e,ลำปาง,1,12,เมือง,บ้านเอ็ด,1,นายอธิวัฒน์ ศรีไชยยานุพันธ์,พรรคคล้ายธรรม,291,291,1.0,0.7848970251716247,0.06705539358600583,True
dc0da65e13f578deb9399173586791eb00767a712bf95f8583ea71905ea4830f,ลำปาง,1,6,อำเภอ/เขต กำจัด,กำจัด,4,นายกิตติกร โล่ห์สุนทร,พรรคเพื่อไทย,276,276,1.0,0.9805825242718447,0.026402640264026403,False
e007ba6db0de9dcd72c6729c0d0375d1e0ea3c84ca9da58bf811e05470364663,ลำปาง,1,2,เมือง,ต้นสูงชัย,8,นางทิพา ปวีณาเสถียร,พรรคประชาชน,275,607,0.45304777594728174,7.195876288659794,0.034383954154727794,True
b17733d9fce3857aa12c80e3315b1700ad40fa95e0516a09168c4916b3fd9063,ลำปาง,1,6,หัวเน็ต,ห้างจิตร,8,นางทิพา ปวีณาเสถียร,พรรคประชาชน,261,502,0.5199203187250996,0.7763157894736842,0.05423728813559322,False
720c001ba97d9faec9b2d4fb0bfcc7723ca085e932319c0651fb548c2d1fa9ee,ลำปาง,1,24,เชิงเมือง,หัวเวียง,7,นางสาวอมลยา เจนตวนิชย์,พรรคประชาธิปัตย์,259,259,1.0,0.688,0.29069767441860467,False
908c9b0eb3a486984c088cca602916b0a2047d7e062b7124fde60d22c45aeefe,ลำปาง,1,4,หัวเมืองฯ,ห้างฉัตร,8,นางทิพา ปวีณาเสถียร,พรรคประชาชน,257,543,0.4732965009208103,17.216216216216218,0.0565149136577708,True
a226bfe234f7f1091e3cb404d1dada416b037cadf68b00ed9303bc4093f0ae07,ลำปาง,1,14,เมืองฯ,ช่องแจ้ง,8,นางทิพา ปวีณาเสถียร,พรรคประชาชน,257,419,0.6133651551312649,0.7257575757575757,0.020876826722338204,True
582a77b6f1a8ff0c8acf89dd3220f299a95bb3ca3da36acde49412a1f23accb7,ลำปาง,1,9,เขตน้อยลำปลาย,ป้อมเจ้าหลวงกระซ่าเกอ,8,นางทิพา ปวีณาเสถียร,พรรคประชาชน,256,526,0.4866920152091255,0.7056128293241696,0.040584415584415584,False
10d0ab87d1a0362b7b4de6535d8eb262bf795da8eb87fc5061ebfe6da66f01aa,ลำปาง,1,3,ห้างจักร,หัวลังคตาร,8,นางทิพา ปวีณาเสถียร,พรรคประชาชน,255,516,0.4941860465116279,1.2622601279317698,0.05067567567567568,False
bd20156cb2fbdf12da19219348ab0089de7a0b8bc4c96ce3509fac40a1318851,ลำปาง,1,12,อำเภอ/เขต เมือง,หมู่ที่ 16,8,นางทิพา ปวีณาเสถียร,พรรคประชาชน,254,474,0.5358649789029536,0.7152682255845942,0.019230769230769232,False
d704962234b196a129b2db64f081f7edb2b120e693c2a45a72c8a7e6798e5f18,ลำปาง,1,19,เมือง,หัวเวียง,7,นางสาวอมลยา เจนตวนิชย์,พรรคประชาธิปัตย์,250,279,0.8960573476702509,0.6023622047244095,0.013071895424836602,False
eeb063034bc8efb29ddb3563b25f7793e95d3fc27f54e11f7ebed7382c3e176b,ลำปาง,1,2,หัวเสีย,บางยางคก,8,นางทิพา ปวีณาเสถียร,พรรคประชาชน,246,519,0.47398843930635837,14.8,0.052364864864864864,True
b690b18fe286049fef36e98f4a584ca974d644590251b8b59b2d6a1fec00084f,ลำปาง,1,5,เมือง,คันถลชัย,8,นางทิพา ปวีณาเสถียร,พรรคประชาชน,246,416,0.5913461538461539,0.6689466484268126,0.03067484662576687,True
8b8bb758064fb109f2044f89ccfbc4ab8ed229dc8af0d2a1597c4e8b9c9df272,ลำปาง,1,9,เมือง,บ้านเอื้อม,8,นางทิพา ปวีณาเสถียร,พรรคประชาชน,241,378,0.6375661375661376,0.7309644670050761,0.0625,True
1273c09ee20df7bd08dc900cba3517e334b42b43614fa9f848107025dbdcb408,ลำปาง,1,7,อำเภอ/เขต เมืองลำปาง,ตำบล/แขวง/เทศบาล,8,นางทิพา ปวีณาเสถียร,พรรคประชาชน,241,415,0.5807228915662651,1.0,0.044444444444444446,False
98632279b4dce4cf53f57e9a3b83ea433d6a0d4e90525001942c724ddcc70f0f,ลำปาง,1,7,เมืองฯ,ป้อมเชิง,8,นางทิพา ปวีณาเสถียร,พรรคประชาชน,239,431,0.5545243619489559,0.7101865136298422,0.026262626262626262,True
03e9067a33b6cb9f39d8447cecedc3cdf1ce2e2945cf2c6df53474f918ba4303,ลำปาง,1,10,เมืองเชียงใหม่,ทุ่งช้าง,8,นางทิพา ปวีณาเสถียร,พรรคประชาชน,232,512,0.453125,0.7142857142857143,0.5666666666666667,False
eef4bf4b87c8433ea66b9943811a58c4722830807ff2cfbadc030fb287c13870,ลำปาง,1,3,หัวเมือง,ห้างค้า,8,นางทิพา ปวีณาเสถียร,พรรคประชาชน,232,522,0.4444444444444444,,,False
e17952d73003b9abf574e8a16458736dfab43d575e8f2b256317834ea485bad3,ลำปาง,1,5,เมือง,ม้านเป้า,8,นางทิพา ปวีณาเสถียร,พรรคประชาชน,231,458,0.5043668122270742,0.7475035663338089,0.03625954198473282,False
d1c281c88f6cd4384b4bac85d6a96a4bd6c6d03b9a2e693a81878bb995dae648,ลำปาง,1,7,ลำปาง,บางเขน,8,นางทิพา ปวีณาเสถียร,พรรคประชาชน,230,401,0.57356608478803,0.506953223767383,0.10224438902743142,False
8c04685846be74413d9c2da6407c23528338e9d50dc5a9dc7876270496bf9c95,ลำปาง,1,1,อำเภอ/เขต,ตำบล/แขวง/เทศบาล,8,นางทิพา ปวีณาเสถียร,พรรคประชาชน,229,548,0.41788321167883213,0.9211822660098522,0.0213903743315508,False
dc5518b18558b59b647b748840e031fb13f24a42c02f983dd645930c554d0a5a,ลำปาง,1,1,เมือง,ฟางฝาย,4,นายกิตติกร โล่ห์สุนทร,พรรคเพื่อไทย,225,510,0.4411764705882353,0.7192307692307692,0.030303030303030304,False
f61107e3798abc18f036d6d0bf5900c8fb5ac631200c0e0f8a63532e8847a84d,ลำปาง,1,14,เชียงคิตร,เชียงตาล,8,นางทิพา ปวีณาเสถียร,พรรคประชาชน,224,449,0.49888641425389757,17.366666666666667,0.04798464491362764,False
28dcaac0125f10c00db752d7ad508abac6ad70ae79bd623f5af837e21ef23a44,ลำปาง,1,9,เมือง,บ่อแล้ว,8,นางทิพา ปวีณาเสถียร,พรรคประชาชน,217,353,0.6147308781869688,0.6460317460317461,0.044226044226044224,False
54ad986c646bcf57122481890350057510ce1e6c8a963012e62a3d57b4acd744,ลำปาง,1,3,ห้างฉัตร,ปางยางคก,8,นางทิพา ปวีณาเสถียร,พรรคประชาชน,214,240,0.8916666666666667,0.5546038543897216,0.007722007722007722,True
4a886727145c78ebd9bbe9ed6530a684f960d8b17b7e669f628cf89bd30b1711,ลำปาง,1,33,เมือง,สวนดอก,9,นายก้องเกียรติ มาทา,พรรครวมไทยสร้างชาติ,212,221,0.9592760180995475,0.5714285714285714,0.4166666666666667,False
7f137eed6f377f146c9ef9813da1cc45cbe69cc0a6d5cf8500da3f4af727cb7e,ลำปาง,1,13,เชียงราย,สำเนาถ่าย,8,นางทิพา ปวีณาเสถียร,พรรคประชาชน,211,539,0.3914656771799629,0.14394904458598726,0.3008849557522124,False
36c8122012e366f9ef0e8c7b7d6e99eddc14d47d31df9a437f5288378fe5c64d,ลำปาง,1,2,เมือง,มานตา,4,นายกิตติกร โล่ห์สุนทร,พรรคเพื่อไทย,211,473,0.44608879492600423,0.7363896848137536,0.042801556420233464,True
681d6b059156e233034b5feb3614617a8d1c2914a3b93ff171cf4158b85f362c,ลำปาง,1,11,เมือง,2043,8,นางทิพา ปวีณาเสถียร,พรรคประชาชน,210,466,0.45064377682403434,0.6551724137931034,0.030852994555353903,False
40210972494ddce17aa3f8e89da16204e9b2496e7af98d2d4889c93a61503a43,ลำปาง,1,7,เมือง,ปอแอ๋ว,8,นางทิพา ปวีณาเสถียร,พรรคประชาชน,206,357,0.5770308123249299,0.7965451055662188,0.04819277108433735,False
a5cd7c04e03a5014489d103c0a19cebf30c62cdcd90ec875360a6fd3be9e6ced,ลำปาง,1,8,หัวเสียกรุง,เรียงตลาด,8,นางทิพา ปวีณาเสถียร,พรรคประชาชน,205,422,0.48578199052132703,1.3885714285714286,0.06790123456790123,False
2182fd6d3eea5a3251b6f35274d620a5a4512db188acd6d690c8c29d6b9e2f43,ลำปาง,1,3,เมือง,เอ๋ย,8,นางทิพา ปวีณาเสถียร,พรรคประชาชน,203,429,0.4731934731934732,0.7100591715976331,0.0375,True
48c904ea186aaca14c8eee44da47ce7ee5ae2fa5d96a5d307966d58d5d3b08fd,ลำปาง,1,0,เมือง,บ้านเชื่อม,8,นางทิพา ปวีณาเสถียร,พรรคประชาชน,203,609,0.3333333333333333,0.684931506849315,10.0,False
8d1134877e4ca14c7715dc8a0d09ffb6d96e6649b71ffadc63d852304f2c1fca,ลำปาง,1,2,ฝางพิมาย,ฝางพิมาย,7,นางสาวอมลยา เจนตวนิชย์,พรรคประชาธิปัตย์,202,426,0.47417840375586856,0.6716621253405994,0.05070993914807302,False
58cf715b1ebf4a2715bc45296891bda8b230835ab2b8aa1eca966117580330ca,ลำปาง,1,10,เมือง,มอแฮ้ง,8,นางทิพา ปวีณาเสถียร,พรรคประชาชน,202,443,0.45598194130925507,0.6364942528735632,0.06320541760722348,False
c2b81bcbbc2447a918060f7329a968ca18c6d1abaed5edb87f8147c1029598dc,ลำปาง,1,4,ห้ามจักร,หัวหน้าอำเภอ/เขต ห้างฉัตร์,8,นางทิพา ปวีณาเสถียร,พรรคประชาชน,201,410,0.4902439024390244,0.753822629969419,0.04665314401622718,False
3898fb34aa3933c6434865bad56071f7a72e015549c098d0bcf78117a9141ec1,ลำปาง,1,9,หาดใหญ่,เชิงคาม,8,นางทิพา ปวีณาเสถียร,พรรคประชาชน,201,425,0.47294117647058825,0.15824915824915825,0.7659574468085106,False
a158a4d90222fe81d2ad69e1df2c66f04a8b7023c046194a6d23ef6681bac53b,ลำปาง,1,20,เมืองลำปาง,ต้นชัย,8,นางทิพา ปวีณาเสถียร,พรรคประชาชน,200,410,0.4878048780487805,0.6719424460431654,0.029978586723768737,False
015b04d2eb819a076b045cf6876d3236424c066ee0632db1da058d9dcd7d778d,ลำปาง,1,72,เมือง,เพชร,8,นางทิพา ปวีณาเสถียร,พรรคประชาชน,199,402,0.49502487562189057,0.6477272727272727,0.021929824561403508,False
63054c76280503701cbde7a1456826e777102e3e0d309ac28a35e57f4f84c1e4,ลำปาง,1,5,เมือง,ปอแอ๊ก,8,นางทิพา ปวีณาเสถียร,พรรคประชาชน,198,421,0.47030878859857483,0.7161016949152542,0.05325443786982249,False
dcd865ef181a9c9a6d7239a85fd7ac8982c013323ee2c21261b58cd1b59af09d,ลำปาง,1,16,หัวหมาก,ปทุมธานี,8,นางทิพา ปวีณาเสถียร,พรรคประชาชน,196,453,0.4326710816777042,0.7142857142857143,0.6,False
39b8ed1299b3339fd9f8d43d198a42f662314f2e4bac0aba2f265044a2583379,ลำปาง,1,19,เมืองลำปาง,คันธรชัย,8,นางทิพา ปวีณาเสถียร,พรรคประชาชน,196,377,0.519893899204244,0.7115689381933439,0.031180400890868598,True
99250798fbd7a7570328bb96f2de8a5b20764ef593ea3e7e64d3377f0d01be6a,ลำปาง,1,52,เมืองลำปาง,สบตุ๋ย,8,นางทิพา ปวีณาเสถียร,พรรคประชาชน,196,381,0.5144356955380578,0.7230769230769231,0.5319148936170213,False
cdaba072645cd3f0ec4b84e346b7bb8b8b658b8070580e9b52589274ac94f790,ลำปาง,1,2,อำเภอ/เขต,หมู่ที่ 9,8,นางทิพา ปวีณาเสถียร,พรรคประชาชน,194,394,0.49238578680203043,0.9932279909706546,0.013636363636363636,False
c7e1bba1b6bb491711d6355758569fe90202ca7e93434d742f7b60b28c6b64e4,ลำปาง,1,1,อำเภอ/เขต เมืองลำปาง,ตำบล/แขวง/เทศบาลตัวจริง,8,นางทิพา ปวีณาเสถียร,พรรคประชาชน,194,409,0.4743276283618582,0.5997067448680352,0.05623471882640587,False
f1d99e980b0a365d7524d41ff8fb5918511ee85b93a7b819898986a1d8419923,ลำปาง,1,5,นางฉัตร,นางฉัตร,8,นางทิพา ปวีณาเสถียร,พรรคประชาชน,194,421,0.46080760095011875,0.6955903271692745,0.044989775051124746,True
51c0bee66575c09734ce68b7ba34bb55fca6b076ec0027b42e480b56b711881b,ลำปาง,1,7,ห้างมิตร,ป้อมบางคอก,8,นางทิพา ปวีณาเสถียร,พรรคประชาชน,194,401,0.4837905236907731,0.7179902755267423,0.033860045146726865,False
0abb5a3d5ba816eff3555ebefde09ba608ad7570a965c4eb42f11e618844abc4,ลำปาง,1,43,เมืองฯ,คันธรชัย,8,นางทิพา ปวีณาเสถียร,พรรคประชาชน,193,377,0.5119363395225465,0.7104851330203443,0.05506607929515418,False
03ba53cbb370471e0619ea15933fd244e36dcb4fc7ba56f6de329b3ffeddc773,ลำปาง,1,68,เมืองลำปาง,พระบาท,8,นางทิพา ปวีณาเสถียร,พรรคประชาชน,192,370,0.518918918918919,0.6349453978159126,0.012285012285012284,False
